Source,Location ID,Jurisdiction,Latitude,Longitude,Time Zone,,
DOE-WPTO US Wave dataset,183911,b'Federal',46.3894,-125.115,0,,
Year,Month,Day,Hour,Minute,Significant Wave Height,< 2 meter,< 3 meter
2009,1,1,0,0,3.065360069,1,1
2009,1,1,3,0,3.195060015,1,1
2009,1,1,6,0,3.686969995,1,1
2009,1,1,9,0,4.032649994,1,1
2009,1,1,12,0,4.189670086,1,1
2009,1,1,15,0,4.641310215,1,1
2009,1,1,18,0,4.30866003,1,1
2009,1,1,21,0,3.729110003,1,1
2009,1,2,0,0,3.264529943,1,1
2009,1,2,3,0,2.960340023,0,1
2009,1,2,6,0,2.813169956,0,1
2009,1,2,9,0,2.847019911,0,1
2009,1,2,12,0,3.229449987,1,1
2009,1,2,15,0,3.361550093,1,1
2009,1,2,18,0,3.068120003,1,1
2009,1,2,21,0,2.86274004,0,1
2009,1,3,0,0,2.737780094,0,1
2009,1,3,3,0,2.569610119,0,1
2009,1,3,6,0,2.466289997,0,1
2009,1,3,9,0,2.344369888,0,1
2009,1,3,12,0,2.257119894,0,1
2009,1,3,15,0,2.176179886,0,1
2009,1,3,18,0,2.156100035,0,1
2009,1,3,21,0,2.283710003,0,1
2009,1,4,0,0,2.348659992,0,1
2009,1,4,3,0,2.342119932,0,1
2009,1,4,6,0,2.349750042,0,1
2009,1,4,9,0,2.429749966,0,1
2009,1,4,12,0,2.503119946,0,1
2009,1,4,15,0,2.688730001,0,1
2009,1,4,18,0,3.110869884,1,1
2009,1,4,21,0,3.595900059,1,1
2009,1,5,0,0,5.233109951,1,1
2009,1,5,3,0,5.925020218,1,1
2009,1,5,6,0,4.928939819,1,1
2009,1,5,9,0,4.277659893,1,1
2009,1,5,12,0,4.101029873,1,1
2009,1,5,15,0,4.171050072,1,1
2009,1,5,18,0,4.155010223,1,1
2009,1,5,21,0,4.148159981,1,1
2009,1,6,0,0,4.346980095,1,1
2009,1,6,3,0,4.569029808,1,1
2009,1,6,6,0,4.543449879,1,1
2009,1,6,9,0,4.357950211,1,1
2009,1,6,12,0,4.213870049,1,1
2009,1,6,15,0,4.325489998,1,1
2009,1,6,18,0,4.503079891,1,1
2009,1,6,21,0,4.573029995,1,1
2009,1,7,0,0,4.702429771,1,1
2009,1,7,3,0,4.828450203,1,1
2009,1,7,6,0,5.076280117,1,1
2009,1,7,9,0,5.074069977,1,1
2009,1,7,12,0,5.098010063,1,1
2009,1,7,15,0,5.04336977,1,1
2009,1,7,18,0,4.819509983,1,1
2009,1,7,21,0,4.65184021,1,1
2009,1,8,0,0,4.677229881,1,1
2009,1,8,3,0,4.833169937,1,1
2009,1,8,6,0,4.511730194,1,1
2009,1,8,9,0,4.358359814,1,1
2009,1,8,12,0,4.256909847,1,1
2009,1,8,15,0,4.027359962,1,1
2009,1,8,18,0,4.261839867,1,1
2009,1,8,21,0,4.537290096,1,1
2009,1,9,0,0,4.545539856,1,1
2009,1,9,3,0,4.198440075,1,1
2009,1,9,6,0,3.8582201,1,1
2009,1,9,9,0,3.571079969,1,1
2009,1,9,12,0,3.30328989,1,1
2009,1,9,15,0,3.047049999,1,1
2009,1,9,18,0,2.801690102,0,1
2009,1,9,21,0,2.590759993,0,1
2009,1,10,0,0,2.3942101,0,1
2009,1,10,3,0,2.269010067,0,1
2009,1,10,6,0,2.398430109,0,1
2009,1,10,9,0,2.662400007,0,1
2009,1,10,12,0,2.931839943,0,1
2009,1,10,15,0,3.093329906,1,1
2009,1,10,18,0,3.17550993,1,1
2009,1,10,21,0,3.277610064,1,1
2009,1,11,0,0,3.60439992,1,1
2009,1,11,3,0,4.089890003,1,1
2009,1,11,6,0,4.156680107,1,1
2009,1,11,9,0,4.11992979,1,1
2009,1,11,12,0,3.874190092,1,1
2009,1,11,15,0,3.60739994,1,1
2009,1,11,18,0,3.362099886,1,1
2009,1,11,21,0,3.146159887,1,1
2009,1,12,0,0,2.944960117,0,1
2009,1,12,3,0,2.74710989,0,1
2009,1,12,6,0,2.563339949,0,1
2009,1,12,9,0,2.403559923,0,1
2009,1,12,12,0,2.2636199,0,1
2009,1,12,15,0,2.138370037,0,1
2009,1,12,18,0,2.017719984,0,1
2009,1,12,21,0,1.908079982,0,0
2009,1,13,0,0,1.815250039,0,0
2009,1,13,3,0,1.741459966,0,0
2009,1,13,6,0,1.688699961,0,0
2009,1,13,9,0,1.65734005,0,0
2009,1,13,12,0,1.657439947,0,0
2009,1,13,15,0,1.712960005,0,0
2009,1,13,18,0,1.821580052,0,0
2009,1,13,21,0,1.930320024,0,0
2009,1,14,0,0,1.995110035,0,0
2009,1,14,3,0,2.056659937,0,1
2009,1,14,6,0,2.020819902,0,1
2009,1,14,9,0,1.953340054,0,0
2009,1,14,12,0,1.893959999,0,0
2009,1,14,15,0,1.848150015,0,0
2009,1,14,18,0,1.794399977,0,0
2009,1,14,21,0,1.691400051,0,0
2009,1,15,0,0,1.592730045,0,0
2009,1,15,3,0,1.574980021,0,0
2009,1,15,6,0,1.559319973,0,0
2009,1,15,9,0,1.469190001,0,0
2009,1,15,12,0,1.45231998,0,0
2009,1,15,15,0,1.405240059,0,0
2009,1,15,18,0,1.421710014,0,0
2009,1,15,21,0,1.400920033,0,0
2009,1,16,0,0,1.432060003,0,0
2009,1,16,3,0,1.547209978,0,0
2009,1,16,6,0,1.807659984,0,0
2009,1,16,9,0,2.122590065,0,1
2009,1,16,12,0,2.452229977,0,1
2009,1,16,15,0,2.745609999,0,1
2009,1,16,18,0,2.956640005,0,1
2009,1,16,21,0,3.054019928,1,1
2009,1,17,0,0,3.056220055,1,1
2009,1,17,3,0,2.980249882,0,1
2009,1,17,6,0,2.858340025,0,1
2009,1,17,9,0,2.762609959,0,1
2009,1,17,12,0,2.743619919,0,1
2009,1,17,15,0,2.729939938,0,1
2009,1,17,18,0,2.827759981,0,1
2009,1,17,21,0,2.945739985,0,1
2009,1,18,0,0,2.984110117,0,1
2009,1,18,3,0,2.962500095,0,1
2009,1,18,6,0,2.930089951,0,1
2009,1,18,9,0,3.050780058,1,1
2009,1,18,12,0,3.190269947,1,1
2009,1,18,15,0,3.394380093,1,1
2009,1,18,18,0,3.568130016,1,1
2009,1,18,21,0,3.528340101,1,1
2009,1,19,0,0,3.425420046,1,1
2009,1,19,3,0,3.252310038,1,1
2009,1,19,6,0,3.112720013,1,1
2009,1,19,9,0,3.012160063,1,1
2009,1,19,12,0,2.9151299,0,1
2009,1,19,15,0,2.862940073,0,1
2009,1,19,18,0,2.822750092,0,1
2009,1,19,21,0,2.772439957,0,1
2009,1,20,0,0,2.67347002,0,1
2009,1,20,3,0,2.497499943,0,1
2009,1,20,6,0,2.372649908,0,1
2009,1,20,9,0,2.299069881,0,1
2009,1,20,12,0,2.245640039,0,1
2009,1,20,15,0,2.174710035,0,1
2009,1,20,18,0,2.100500107,0,1
2009,1,20,21,0,2.037750006,0,1
2009,1,21,0,0,1.957119942,0,0
2009,1,21,3,0,1.882580042,0,0
2009,1,21,6,0,1.812399983,0,0
2009,1,21,9,0,1.754040003,0,0
2009,1,21,12,0,1.740389943,0,0
2009,1,21,15,0,1.71863997,0,0
2009,1,21,18,0,1.692939997,0,0
2009,1,21,21,0,1.677320004,0,0
2009,1,22,0,0,1.640349984,0,0
2009,1,22,3,0,1.623769999,0,0
2009,1,22,6,0,1.644809961,0,0
2009,1,22,9,0,1.661419988,0,0
2009,1,22,12,0,1.692909956,0,0
2009,1,22,15,0,1.712970018,0,0
2009,1,22,18,0,1.730970025,0,0
2009,1,22,21,0,1.768700004,0,0
2009,1,23,0,0,1.832749963,0,0
2009,1,23,3,0,1.899729967,0,0
2009,1,23,6,0,1.962030053,0,0
2009,1,23,9,0,1.999070048,0,0
2009,1,23,12,0,2.005369902,0,1
2009,1,23,15,0,1.993589997,0,0
2009,1,23,18,0,1.962290049,0,0
2009,1,23,21,0,1.958629966,0,0
2009,1,24,0,0,1.97902,0,0
2009,1,24,3,0,1.967429996,0,0
2009,1,24,6,0,1.975029945,0,0
2009,1,24,9,0,1.925089955,0,0
2009,1,24,12,0,1.875460029,0,0
2009,1,24,15,0,1.809759974,0,0
2009,1,24,18,0,1.774070024,0,0
2009,1,24,21,0,1.780900002,0,0
2009,1,25,0,0,1.796169996,0,0
2009,1,25,3,0,1.823210001,0,0
2009,1,25,6,0,1.893519998,0,0
2009,1,25,9,0,1.991050005,0,0
2009,1,25,12,0,2.117640018,0,1
2009,1,25,15,0,2.503509998,0,1
2009,1,25,18,0,2.780459881,0,1
2009,1,25,21,0,2.752799988,0,1
2009,1,26,0,0,2.678100109,0,1
2009,1,26,3,0,2.590080023,0,1
2009,1,26,6,0,2.511810064,0,1
2009,1,26,9,0,2.446870089,0,1
2009,1,26,12,0,2.362309933,0,1
2009,1,26,15,0,2.254149914,0,1
2009,1,26,18,0,2.129309893,0,1
2009,1,26,21,0,2.002180099,0,1
2009,1,27,0,0,1.890779972,0,0
2009,1,27,3,0,1.794479966,0,0
2009,1,27,6,0,1.788490057,0,0
2009,1,27,9,0,2.134799957,0,1
2009,1,27,12,0,2.643690109,0,1
2009,1,27,15,0,2.958120108,0,1
2009,1,27,18,0,3.063560009,1,1
2009,1,27,21,0,2.989389896,0,1
2009,1,28,0,0,3.079969883,1,1
2009,1,28,3,0,3.153300047,1,1
2009,1,28,6,0,3.315259933,1,1
2009,1,28,9,0,3.494839907,1,1
2009,1,28,12,0,3.537420034,1,1
2009,1,28,15,0,3.430180073,1,1
2009,1,28,18,0,3.24890995,1,1
2009,1,28,21,0,3.064039946,1,1
2009,1,29,0,0,2.861979961,0,1
2009,1,29,3,0,2.665499926,0,1
2009,1,29,6,0,2.49545002,0,1
2009,1,29,9,0,2.348629951,0,1
2009,1,29,12,0,2.209290028,0,1
2009,1,29,15,0,2.049269915,0,1
2009,1,29,18,0,1.894649982,0,0
2009,1,29,21,0,1.78512001,0,0
2009,1,30,0,0,1.688949943,0,0
2009,1,30,3,0,1.586449981,0,0
2009,1,30,6,0,1.487229943,0,0
2009,1,30,9,0,1.42640996,0,0
2009,1,30,12,0,1.434820056,0,0
2009,1,30,15,0,1.527660012,0,0
2009,1,30,18,0,1.621809959,0,0
2009,1,30,21,0,1.724269986,0,0
2009,1,31,0,0,2.065010071,0,1
2009,1,31,3,0,2.684289932,0,1
2009,1,31,6,0,3.072479963,1,1
2009,1,31,9,0,3.105799913,1,1
2009,1,31,12,0,3.015450001,1,1
2009,1,31,15,0,2.856410027,0,1
2009,1,31,18,0,2.733580112,0,1
2009,1,31,21,0,2.740700006,0,1
2009,2,1,0,0,2.886110067,0,1
2009,2,1,3,0,3.225519896,1,1
2009,2,1,6,0,3.519220114,1,1
2009,2,1,9,0,3.574990034,1,1
2009,2,1,12,0,3.428970098,1,1
2009,2,1,15,0,3.179939985,1,1
2009,2,1,18,0,2.86342001,0,1
2009,2,1,21,0,2.549400091,0,1
2009,2,2,0,0,2.559279919,0,1
2009,2,2,3,0,2.577589989,0,1
2009,2,2,6,0,2.665019989,0,1
2009,2,2,9,0,2.571190119,0,1
2009,2,2,12,0,2.430480003,0,1
2009,2,2,15,0,2.27624011,0,1
2009,2,2,18,0,2.234839916,0,1
2009,2,2,21,0,2.172790051,0,1
2009,2,3,0,0,2.197190046,0,1
2009,2,3,3,0,2.283210039,0,1
2009,2,3,6,0,2.40963006,0,1
2009,2,3,9,0,2.511940002,0,1
2009,2,3,12,0,2.622240067,0,1
2009,2,3,15,0,2.717809916,0,1
2009,2,3,18,0,2.816960096,0,1
2009,2,3,21,0,2.805989981,0,1
2009,2,4,0,0,2.810270071,0,1
2009,2,4,3,0,2.807940006,0,1
2009,2,4,6,0,2.791840076,0,1
2009,2,4,9,0,2.787780046,0,1
2009,2,4,12,0,2.820470095,0,1
2009,2,4,15,0,2.836460114,0,1
2009,2,4,18,0,2.816979885,0,1
2009,2,4,21,0,2.686569929,0,1
2009,2,5,0,0,2.532249928,0,1
2009,2,5,3,0,2.406480074,0,1
2009,2,5,6,0,2.309740067,0,1
2009,2,5,9,0,2.234590054,0,1
2009,2,5,12,0,2.176749945,0,1
2009,2,5,15,0,2.122999907,0,1
2009,2,5,18,0,2.058640003,0,1
2009,2,5,21,0,1.982409954,0,0
2009,2,6,0,0,1.915510058,0,0
2009,2,6,3,0,1.901119947,0,0
2009,2,6,6,0,1.966609955,0,0
2009,2,6,9,0,2.167649984,0,1
2009,2,6,12,0,2.525269985,0,1
2009,2,6,15,0,3.103970051,1,1
2009,2,6,18,0,4.35089016,1,1
2009,2,6,21,0,4.469810009,1,1
2009,2,7,0,0,4.40117979,1,1
2009,2,7,3,0,4.278110027,1,1
2009,2,7,6,0,4.134970188,1,1
2009,2,7,9,0,3.954649925,1,1
2009,2,7,12,0,3.742409945,1,1
2009,2,7,15,0,3.516079903,1,1
2009,2,7,18,0,3.264050007,1,1
2009,2,7,21,0,2.990609884,0,1
2009,2,8,0,0,2.733920097,0,1
2009,2,8,3,0,2.529520035,0,1
2009,2,8,6,0,2.376110077,0,1
2009,2,8,9,0,2.335880041,0,1
2009,2,8,12,0,2.6145401,0,1
2009,2,8,15,0,3.176830053,1,1
2009,2,8,18,0,3.634200096,1,1
2009,2,8,21,0,3.650810003,1,1
2009,2,9,0,0,3.493779898,1,1
2009,2,9,3,0,3.996510029,1,1
2009,2,9,6,0,3.761499882,1,1
2009,2,9,9,0,3.411580086,1,1
2009,2,9,12,0,3.160650015,1,1
2009,2,9,15,0,2.982579947,0,1
2009,2,9,18,0,2.911420107,0,1
2009,2,9,21,0,3.074860096,1,1
2009,2,10,0,0,3.278150082,1,1
2009,2,10,3,0,3.422420025,1,1
2009,2,10,6,0,3.490469933,1,1
2009,2,10,9,0,3.471440077,1,1
2009,2,10,12,0,3.683089972,1,1
2009,2,10,15,0,4.210639954,1,1
2009,2,10,18,0,4.87898016,1,1
2009,2,10,21,0,4.18156004,1,1
2009,2,11,0,0,3.64338994,1,1
2009,2,11,3,0,3.480240107,1,1
2009,2,11,6,0,3.781150103,1,1
2009,2,11,9,0,4.461140156,1,1
2009,2,11,12,0,5.159669876,1,1
2009,2,11,15,0,5.109529972,1,1
2009,2,11,18,0,4.69453001,1,1
2009,2,11,21,0,4.330780029,1,1
2009,2,12,0,0,3.99435997,1,1
2009,2,12,3,0,3.684910059,1,1
2009,2,12,6,0,3.467530012,1,1
2009,2,12,9,0,3.311300039,1,1
2009,2,12,12,0,3.160599947,1,1
2009,2,12,15,0,3.034739971,1,1
2009,2,12,18,0,2.96491003,0,1
2009,2,12,21,0,3.040869951,1,1
2009,2,13,0,0,3.118210077,1,1
2009,2,13,3,0,3.130219936,1,1
2009,2,13,6,0,3.190829992,1,1
2009,2,13,9,0,3.898030043,1,1
2009,2,13,12,0,3.904710054,1,1
2009,2,13,15,0,3.579940081,1,1
2009,2,13,18,0,3.324419975,1,1
2009,2,13,21,0,3.157429934,1,1
2009,2,14,0,0,3.025449991,1,1
2009,2,14,3,0,2.90831995,0,1
2009,2,14,6,0,2.817840099,0,1
