Source,Location ID,Jurisdiction,Latitude,Longitude,Time Zone,,
DOE-WPTO US Wave dataset,183911,b'Federal',46.3894,-125.115,0,,
Year,Month,Day,Hour,Minute,Significant Wave Height,< 2 meter,< 3 meter
2008,1,1,0,0,2.44630003,0,1
2008,1,1,3,0,2.726330042,0,1
2008,1,1,6,0,2.977269888,0,1
2008,1,1,9,0,3.133990049,1,1
2008,1,1,12,0,3.210230112,1,1
2008,1,1,15,0,3.529360056,1,1
2008,1,1,18,0,4.566259861,1,1
2008,1,1,21,0,4.81415987,1,1
2008,1,2,0,0,4.916339874,1,1
2008,1,2,3,0,4.928279877,1,1
2008,1,2,6,0,5.026529789,1,1
2008,1,2,9,0,4.473249912,1,1
2008,1,2,12,0,3.996579885,1,1
2008,1,2,15,0,3.806420088,1,1
2008,1,2,18,0,3.778160095,1,1
2008,1,2,21,0,3.794800043,1,1
2008,1,3,0,0,3.922070026,1,1
2008,1,3,3,0,4.041769981,1,1
2008,1,3,6,0,4.258739948,1,1
2008,1,3,9,0,4.345439911,1,1
2008,1,3,12,0,4.853030205,1,1
2008,1,3,15,0,5.533040047,1,1
2008,1,3,18,0,6.107309818,1,1
2008,1,3,21,0,6.152160168,1,1
2008,1,4,0,0,5.597660065,1,1
2008,1,4,3,0,5.045869827,1,1
2008,1,4,6,0,4.784200191,1,1
2008,1,4,9,0,4.679369926,1,1
2008,1,4,12,0,4.964739799,1,1
2008,1,4,15,0,5.285759926,1,1
2008,1,4,18,0,6.023119926,1,1
2008,1,4,21,0,6.649040222,1,1
2008,1,5,0,0,7.25785017,1,1
2008,1,5,3,0,7.20182991,1,1
2008,1,5,6,0,7.926380157,1,1
2008,1,5,9,0,9.268110275,1,1
2008,1,5,12,0,9.347330093,1,1
2008,1,5,15,0,9.065770149,1,1
2008,1,5,18,0,8.237420082,1,1
2008,1,5,21,0,7.123419762,1,1
2008,1,6,0,0,6.172570229,1,1
2008,1,6,3,0,5.445469856,1,1
2008,1,6,6,0,4.925280094,1,1
2008,1,6,9,0,4.580760002,1,1
2008,1,6,12,0,4.366129875,1,1
2008,1,6,15,0,4.23883009,1,1
2008,1,6,18,0,4.11164999,1,1
2008,1,6,21,0,3.903029919,1,1
2008,1,7,0,0,3.738919973,1,1
2008,1,7,3,0,3.593189955,1,1
2008,1,7,6,0,3.48567009,1,1
2008,1,7,9,0,3.427320004,1,1
2008,1,7,12,0,3.395440102,1,1
2008,1,7,15,0,3.376420021,1,1
2008,1,7,18,0,3.365560055,1,1
2008,1,7,21,0,3.335190058,1,1
2008,1,8,0,0,3.817610025,1,1
2008,1,8,3,0,4.825240135,1,1
2008,1,8,6,0,5.924739838,1,1
2008,1,8,9,0,6.968719959,1,1
2008,1,8,12,0,5.77354002,1,1
2008,1,8,15,0,4.720920086,1,1
2008,1,8,18,0,4.115429878,1,1
2008,1,8,21,0,3.719559908,1,1
2008,1,9,0,0,3.551419973,1,1
2008,1,9,3,0,4.300710201,1,1
2008,1,9,6,0,4.334340096,1,1
2008,1,9,9,0,4.409629822,1,1
2008,1,9,12,0,4.633230209,1,1
2008,1,9,15,0,5.30783987,1,1
2008,1,9,18,0,5.707970142,1,1
2008,1,9,21,0,5.623559952,1,1
2008,1,10,0,0,5.674119949,1,1
2008,1,10,3,0,5.792180061,1,1
2008,1,10,6,0,6.010270119,1,1
2008,1,10,9,0,5.492780209,1,1
2008,1,10,12,0,5.039080143,1,1
2008,1,10,15,0,4.543489933,1,1
2008,1,10,18,0,4.173950195,1,1
2008,1,10,21,0,3.989660025,1,1
2008,1,11,0,0,4.105120182,1,1
2008,1,11,3,0,4.257460117,1,1
2008,1,11,6,0,4.437119961,1,1
2008,1,11,9,0,4.526529789,1,1
2008,1,11,12,0,4.629240036,1,1
2008,1,11,15,0,4.73183012,1,1
2008,1,11,18,0,4.868959904,1,1
2008,1,11,21,0,5.04034996,1,1
2008,1,12,0,0,5.136650085,1,1
2008,1,12,3,0,5.007860184,1,1
2008,1,12,6,0,4.759220123,1,1
2008,1,12,9,0,4.575359821,1,1
2008,1,12,12,0,4.906000137,1,1
2008,1,12,15,0,4.606130123,1,1
2008,1,12,18,0,3.972049952,1,1
2008,1,12,21,0,3.689219952,1,1
2008,1,13,0,0,3.901530027,1,1
2008,1,13,3,0,4.41573,1,1
2008,1,13,6,0,4.914010048,1,1
2008,1,13,9,0,5.061470032,1,1
2008,1,13,12,0,4.895060062,1,1
2008,1,13,15,0,4.611279964,1,1
2008,1,13,18,0,4.270579815,1,1
2008,1,13,21,0,3.845469952,1,1
2008,1,14,0,0,3.401030064,1,1
2008,1,14,3,0,3.038500071,1,1
2008,1,14,6,0,3.075030088,1,1
2008,1,14,9,0,3.185909986,1,1
2008,1,14,12,0,3.490329981,1,1
2008,1,14,15,0,3.944960117,1,1
2008,1,14,18,0,4.235439777,1,1
2008,1,14,21,0,4.060890198,1,1
2008,1,15,0,0,4.489659786,1,1
2008,1,15,3,0,4.723790169,1,1
2008,1,15,6,0,4.680640221,1,1
2008,1,15,9,0,4.547090054,1,1
2008,1,15,12,0,4.263120174,1,1
2008,1,15,15,0,3.967530012,1,1
2008,1,15,18,0,3.696029902,1,1
2008,1,15,21,0,3.406310081,1,1
2008,1,16,0,0,3.312210083,1,1
2008,1,16,3,0,3.302380085,1,1
2008,1,16,6,0,3.245100021,1,1
2008,1,16,9,0,3.016860008,1,1
2008,1,16,12,0,2.720690012,0,1
2008,1,16,15,0,2.395889997,0,1
2008,1,16,18,0,2.229370117,0,1
2008,1,16,21,0,2.304589987,0,1
2008,1,17,0,0,2.625770092,0,1
2008,1,17,3,0,2.948630095,0,1
2008,1,17,6,0,3.104419947,1,1
2008,1,17,9,0,3.145420074,1,1
2008,1,17,12,0,3.175839901,1,1
2008,1,17,15,0,3.213249922,1,1
2008,1,17,18,0,3.217669964,1,1
2008,1,17,21,0,3.127589941,1,1
2008,1,18,0,0,3.050559998,1,1
2008,1,18,3,0,2.97784996,0,1
2008,1,18,6,0,2.898930073,0,1
2008,1,18,9,0,2.802979946,0,1
2008,1,18,12,0,2.685640097,0,1
2008,1,18,15,0,2.55272007,0,1
2008,1,18,18,0,2.42505002,0,1
2008,1,18,21,0,2.295209885,0,1
2008,1,19,0,0,2.191940069,0,1
2008,1,19,3,0,2.127589941,0,1
2008,1,19,6,0,2.096649885,0,1
2008,1,19,9,0,2.094010115,0,1
2008,1,19,12,0,2.138799906,0,1
2008,1,19,15,0,2.341820002,0,1
2008,1,19,18,0,2.739739895,0,1
2008,1,19,21,0,2.975640059,0,1
2008,1,20,0,0,3.085239887,1,1
2008,1,20,3,0,3.104909897,1,1
2008,1,20,6,0,3.048670053,1,1
2008,1,20,9,0,3.098010063,1,1
2008,1,20,12,0,3.046809912,1,1
2008,1,20,15,0,2.893340111,0,1
2008,1,20,18,0,2.734859943,0,1
2008,1,20,21,0,2.593240023,0,1
2008,1,21,0,0,2.459789991,0,1
2008,1,21,3,0,2.43979001,0,1
2008,1,21,6,0,2.645220041,0,1
2008,1,21,9,0,2.698270082,0,1
2008,1,21,12,0,2.608439922,0,1
2008,1,21,15,0,2.514070034,0,1
2008,1,21,18,0,2.402889967,0,1
2008,1,21,21,0,2.165699959,0,1
2008,1,22,0,0,2.043359995,0,1
2008,1,22,3,0,1.927240014,0,0
2008,1,22,6,0,1.817450047,0,0
2008,1,22,9,0,1.672629952,0,0
2008,1,22,12,0,1.591619968,0,0
2008,1,22,15,0,1.55558002,0,0
2008,1,22,18,0,1.573310018,0,0
2008,1,22,21,0,1.633319974,0,0
2008,1,23,0,0,1.695749998,0,0
2008,1,23,3,0,1.773669958,0,0
2008,1,23,6,0,1.870499969,0,0
2008,1,23,9,0,1.974269986,0,0
2008,1,23,12,0,2.108459949,0,1
2008,1,23,15,0,2.213320017,0,1
2008,1,23,18,0,2.287509918,0,1
2008,1,23,21,0,2.386879921,0,1
2008,1,24,0,0,2.443730116,0,1
2008,1,24,3,0,2.543790102,0,1
2008,1,24,6,0,2.592149973,0,1
2008,1,24,9,0,2.578720093,0,1
2008,1,24,12,0,2.688519955,0,1
2008,1,24,15,0,2.694760084,0,1
2008,1,24,18,0,2.684839964,0,1
2008,1,24,21,0,2.829999924,0,1
2008,1,25,0,0,2.715219975,0,1
2008,1,25,3,0,2.508660078,0,1
2008,1,25,6,0,2.396759987,0,1
2008,1,25,9,0,2.352230072,0,1
2008,1,25,12,0,2.627680063,0,1
2008,1,25,15,0,3.101320028,1,1
2008,1,25,18,0,3.314889908,1,1
2008,1,25,21,0,3.36748004,1,1
2008,1,26,0,0,3.346679926,1,1
2008,1,26,3,0,3.222719908,1,1
2008,1,26,6,0,3.01444006,1,1
2008,1,26,9,0,2.776190042,0,1
2008,1,26,12,0,2.560410023,0,1
2008,1,26,15,0,2.395499945,0,1
2008,1,26,18,0,2.246370077,0,1
2008,1,26,21,0,2.156379938,0,1
2008,1,27,0,0,2.362240076,0,1
2008,1,27,3,0,2.742880106,0,1
2008,1,27,6,0,2.842839956,0,1
2008,1,27,9,0,3.318939924,1,1
2008,1,27,12,0,3.849339962,1,1
2008,1,27,15,0,3.940999985,1,1
2008,1,27,18,0,3.776760101,1,1
2008,1,27,21,0,3.596899986,1,1
2008,1,28,0,0,3.503269911,1,1
2008,1,28,3,0,3.449860096,1,1
2008,1,28,6,0,3.43246007,1,1
2008,1,28,9,0,3.483809948,1,1
2008,1,28,12,0,3.653840065,1,1
2008,1,28,15,0,3.788069963,1,1
2008,1,28,18,0,3.758229971,1,1
2008,1,28,21,0,3.860830069,1,1
2008,1,29,0,0,3.565609932,1,1
2008,1,29,3,0,3.165800095,1,1
2008,1,29,6,0,3.098769903,1,1
2008,1,29,9,0,3.659840107,1,1
2008,1,29,12,0,3.712100029,1,1
2008,1,29,15,0,4.043119907,1,1
2008,1,29,18,0,4.283830166,1,1
2008,1,29,21,0,4.692359924,1,1
2008,1,30,0,0,4.97521019,1,1
2008,1,30,3,0,5.011229992,1,1
2008,1,30,6,0,5.250450134,1,1
2008,1,30,9,0,5.507100105,1,1
2008,1,30,12,0,6.136050224,1,1
2008,1,30,15,0,6.687900066,1,1
2008,1,30,18,0,6.22149992,1,1
2008,1,30,21,0,5.534930229,1,1
2008,1,31,0,0,5.673970222,1,1
2008,1,31,3,0,5.450860023,1,1
2008,1,31,6,0,4.810100079,1,1
2008,1,31,9,0,4.53426981,1,1
2008,1,31,12,0,4.363100052,1,1
2008,1,31,15,0,4.363369942,1,1
2008,1,31,18,0,4.248109818,1,1
2008,1,31,21,0,4.402750015,1,1
2008,2,1,0,0,4.945789814,1,1
2008,2,1,3,0,6.1448102,1,1
2008,2,1,6,0,7.445040226,1,1
2008,2,1,9,0,7.344810009,1,1
2008,2,1,12,0,6.931630135,1,1
2008,2,1,15,0,6.242650032,1,1
2008,2,1,18,0,5.635610104,1,1
2008,2,1,21,0,5.12443018,1,1
2008,2,2,0,0,4.722060204,1,1
2008,2,2,3,0,4.348189831,1,1
2008,2,2,6,0,3.879309893,1,1
2008,2,2,9,0,3.46717,1,1
2008,2,2,12,0,3.169270039,1,1
2008,2,2,15,0,2.979520082,0,1
2008,2,2,18,0,3.046489954,1,1
2008,2,2,21,0,2.985359907,0,1
2008,2,3,0,0,2.829699993,0,1
2008,2,3,3,0,2.661799908,0,1
2008,2,3,6,0,2.503439903,0,1
2008,2,3,9,0,2.412940025,0,1
2008,2,3,12,0,2.557300091,0,1
2008,2,3,15,0,2.80479002,0,1
2008,2,3,18,0,2.995579958,0,1
2008,2,3,21,0,3.008539915,1,1
2008,2,4,0,0,3.204960108,1,1
2008,2,4,3,0,3.640539885,1,1
2008,2,4,6,0,4.003779888,1,1
2008,2,4,9,0,4.060110092,1,1
2008,2,4,12,0,3.996040106,1,1
2008,2,4,15,0,3.983750105,1,1
2008,2,4,18,0,4.054140091,1,1
2008,2,4,21,0,3.912339926,1,1
2008,2,5,0,0,3.657870054,1,1
2008,2,5,3,0,3.474989891,1,1
2008,2,5,6,0,3.657049894,1,1
2008,2,5,9,0,3.608560085,1,1
2008,2,5,12,0,3.631870031,1,1
2008,2,5,15,0,4.274330139,1,1
2008,2,5,18,0,4.398869991,1,1
2008,2,5,21,0,4.539840221,1,1
2008,2,6,0,0,5.030330181,1,1
2008,2,6,3,0,5.55960989,1,1
2008,2,6,6,0,5.586540222,1,1
2008,2,6,9,0,5.419270039,1,1
2008,2,6,12,0,5.112160206,1,1
2008,2,6,15,0,4.717020035,1,1
2008,2,6,18,0,4.376999855,1,1
2008,2,6,21,0,4.155479908,1,1
2008,2,7,0,0,4.40598011,1,1
2008,2,7,3,0,5.053899765,1,1
2008,2,7,6,0,5.411200047,1,1
2008,2,7,9,0,5.436659813,1,1
2008,2,7,12,0,6.037220001,1,1
2008,2,7,15,0,6.149610043,1,1
2008,2,7,18,0,5.856090069,1,1
2008,2,7,21,0,5.266280174,1,1
2008,2,8,0,0,4.824289799,1,1
2008,2,8,3,0,4.487669945,1,1
2008,2,8,6,0,4.422609806,1,1
2008,2,8,9,0,4.45927,1,1
2008,2,8,12,0,4.674029827,1,1
2008,2,8,15,0,4.841720104,1,1
2008,2,8,18,0,4.92772007,1,1
2008,2,8,21,0,5.085529804,1,1
2008,2,9,0,0,5.296629906,1,1
2008,2,9,3,0,5.241159916,1,1
2008,2,9,6,0,5.011229992,1,1
2008,2,9,9,0,4.694600105,1,1
2008,2,9,12,0,4.401790142,1,1
2008,2,9,15,0,4.079050064,1,1
2008,2,9,18,0,3.797240019,1,1
2008,2,9,21,0,3.591540098,1,1
2008,2,10,0,0,3.522099972,1,1
2008,2,10,3,0,3.490190029,1,1
2008,2,10,6,0,3.623159885,1,1
2008,2,10,9,0,3.266829967,1,1
2008,2,10,12,0,3.23010993,1,1
2008,2,10,15,0,3.37796998,1,1
2008,2,10,18,0,3.548719883,1,1
2008,2,10,21,0,3.741760015,1,1
2008,2,11,0,0,3.900470018,1,1
2008,2,11,3,0,3.907690048,1,1
2008,2,11,6,0,3.98112011,1,1
2008,2,11,9,0,4.089119911,1,1
2008,2,11,12,0,4.10089016,1,1
2008,2,11,15,0,3.92276001,1,1
2008,2,11,18,0,3.622600079,1,1
2008,2,11,21,0,3.347640038,1,1
2008,2,12,0,0,3.121320009,1,1
2008,2,12,3,0,2.944649935,0,1
2008,2,12,6,0,2.847680092,0,1
2008,2,12,9,0,2.909539938,0,1
2008,2,12,12,0,2.940829992,0,1
2008,2,12,15,0,2.931240082,0,1
2008,2,12,18,0,3.124619961,1,1
2008,2,12,21,0,3.545069933,1,1
2008,2,13,0,0,4.194930077,1,1
2008,2,13,3,0,4.638060093,1,1
2008,2,13,6,0,4.931920052,1,1
2008,2,13,9,0,4.940080166,1,1
2008,2,13,12,0,4.82174015,1,1
2008,2,13,15,0,4.557519913,1,1
2008,2,13,18,0,4.243450165,1,1
2008,2,13,21,0,3.993170023,1,1
2008,2,14,0,0,3.836539984,1,1
2008,2,14,3,0,3.777430058,1,1
2008,2,14,6,0,3.720679998,1,1
